Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
29-Nov-17,California,Port Hueneme,1800 block of N 7th Pl,0,0,N/A
29-Nov-17,California,Riverdale,N/A,0,1,N/A
29-Nov-17,California,Visalia,Mooney Blvd and Sunnyside Ave,0,0,N/A
29-Nov-17,California,Fresno,McKinley Ave and 2nd St,0,0,N/A
29-Nov-17,California,Indio,N/A,0,0,N/A
29-Nov-17,North Carolina,Raleigh,Person St,0,1,N/A
29-Nov-17,Oregon,Pendleton,2203 SW Court Ave,0,1,N/A
29-Nov-17,Oregon,Beaverton,4050 SW Lombard Ave,0,0,N/A
29-Nov-17,Oregon,Portland,12035 NE Gilsan St,0,1,N/A
29-Nov-17,Oregon,Portland,9950 SE Stark St,0,0,N/A
29-Nov-17,Pennsylvania,Red Lion,200 Horace Mann Ave,0,0,N/A
29-Nov-17,Pennsylvania,Lancaster,1000 block of N Lime St,0,0,N/A
29-Nov-17,Washington,Kennewick,W 4th Ave and S Edison St,0,0,N/A
29-Nov-17,Illinois,Chicago,800 N Homan Ave,0,1,N/A
29-Nov-17,Washington,Moses Lake,N Buell Dr,0,0,N/A
29-Nov-17,Washington,Auburn,Auburn Way N and 8th St NE,0,1,N/A
29-Nov-17,Illinois,Bourbonnais,1887 Armour Rd,0,0,N/A
29-Nov-17,Iowa,Waterloo,Hope Ave and E Arlington St,0,0,N/A
29-Nov-17,Iowa,Des Moines,Bell Ave and SW Ninth Street,0,1,N/A
29-Nov-17,Georgia,Atlanta,Perry Blvd,0,1,N/A
29-Nov-17,Arkansas,Forrest City,N/A,0,0,N/A
29-Nov-17,Massachusetts,Boston,Howland and Waumbeck,0,0,N/A
29-Nov-17,Massachusetts,Southbridge,Tipton Rock Rd,0,1,N/A
29-Nov-17,Connecticut,Bridgeport,Hollister Ave and Connecticut Ave,0,1,N/A
29-Nov-17,Texas,Midland,Atlanta St and Dakota St,0,0,N/A
29-Nov-17,Texas,Houston,14531 Ella Blvd,0,3,N/A
29-Nov-17,Ohio,Youngstown (Boardman),South Ave and Midlothian Blvd,0,0,N/A
28-Nov-17,Florida,Brandon,1300 Rivage Cir,0,1,N/A
28-Nov-17,Ohio,Celina,521 Grand Lake Rd,0,0,N/A
28-Nov-17,Ohio,Jeffersonville,7168 Garringer-Edgefield Rd,0,1,N/A
28-Nov-17,South Carolina,Aiken,N/A,0,0,N/A
28-Nov-17,North Carolina,Wilmington,900 Block of Rankin St,0,1,N/A
28-Nov-17,Ohio,Akron,Copley Rd and S Hawkins Ave,0,0,N/A
28-Nov-17,Georgia,Atlanta,Avon Ave and Graymont Dr,0,0,N/A
28-Nov-17,Ohio,Cincinnati (Westwood),Montana Ave and Quante Ave,0,1,N/A
28-Nov-17,Pennsylvania,Hazleton,Cedar St and Green St,0,0,N/A
28-Nov-17,New Mexico,Albuquerque,6300 block of Gonzalez SW,0,1,N/A
28-Nov-17,Wisconsin,Nekoosa,24th Ave N,0,0,N/A
28-Nov-17,Wisconsin,Madison,2300 block of Fish Hatchery Rd,0,0,N/A
28-Nov-17,Wisconsin,Madison,Seminole Highway and Beltline Frontage Road,0,0,N/A
28-Nov-17,Massachusetts,Haverhill,Railroad Square,0,0,N/A
28-Nov-17,Michigan,Highland Park,200 block of Tennyson,0,1,N/A
28-Nov-17,Indiana,East Chicago,W 145th St and  White Oak Ave,0,1,N/A
28-Nov-17,Indiana,Calumet,6100 W 41st Ave,0,1,N/A
28-Nov-17,Virginia,Lynchburg,Taylor St,0,1,N/A
28-Nov-17,Delaware,Bear,76th St and Freedom Rd,0,1,N/A
28-Nov-17,Indiana,West Lafayette,320 Brown St,0,1,N/A
28-Nov-17,Illinois,Chicago,6300 S Talman Ave,0,1,N/A
28-Nov-17,Illinois,Chicago,7100 S May St,0,1,N/A
28-Nov-17,Maryland,Baltimore,100 block of N Culver St,0,1,N/A
28-Nov-17,California,Bakersfield,4500 Block of Vern St,0,1,N/A
28-Nov-17,Maryland,Baltimore,2100 block of Sinclair Ln,0,1,N/A
28-Nov-17,North Carolina,Greensboro,1415 Ardmore St,0,1,N/A
28-Nov-17,District of Columbia,Washington,7th Street and Upshur St NW,0,0,N/A
28-Nov-17,Pennsylvania,Bethlehem,Dogwood Ln,0,1,N/A
28-Nov-17,Tennessee,Memphis,2800 block of Los Gatos Ct,0,1,N/A
28-Nov-17,District of Columbia,Washington,500 block of Lamont St NW,0,0,N/A
28-Nov-17,Connecticut,Bridgeport,Success Ave,0,0,N/A
28-Nov-17,Connecticut,Bridgeport,357 State St,0,0,N/A
28-Nov-17,District of Columbia,Washington,1100 block of Queen St NE,0,0,N/A
28-Nov-17,New Jersey,Trenton,500 block of Hoffman Ave,0,0,N/A
28-Nov-17,Tennessee,Cleveland,N/A,0,0,N/A
28-Nov-17,California,San Jose,1590 Dry Creek Rd,0,0,N/A
28-Nov-17,California,Piedmont,4400 block of Moraga Ave,0,0,N/A
28-Nov-17,Missouri,Saint Louis,5900 block of Page Ave,0,1,N/A
28-Nov-17,Tennessee,Memphis,3465 Lamar Ave,0,2,N/A
28-Nov-17,Michigan,Mount Morris,8041 Neff Rd,0,0,N/A
28-Nov-17,Texas,Mansfield,1500 block of Valleywood Tr,0,0,N/A
28-Nov-17,Montana,Helena,Alice St and Runkle Pkwy,0,0,N/A
28-Nov-17,Florida,Naples,2500 Block of 47th Ave NE,0,0,N/A
28-Nov-17,Illinois,Chicago,600 E Bowen Ave,0,1,N/A
28-Nov-17,Illinois,Chicago,1400 N Bosworth Ave,0,0,N/A
28-Nov-17,Kentucky,Louisville,1700 block of Patton Court,0,1,N/A
28-Nov-17,Florida,Fort Pierce,2700 Block of S 17th St,0,2,N/A
28-Nov-17,Kentucky,Louisville,38th and Jefferson Street,0,1,N/A
28-Nov-17,Vermont,Rutland (Mendon),Wheelerville Rd,0,0,N/A
28-Nov-17,Montana,Bozeman,555 Zoot Enterprises Ln,0,0,N/A
28-Nov-17,Massachusetts,Falmouth,Teaticket Hwy,0,0,N/A
28-Nov-17,Kansas,Topeka,600 block of SW Warren,0,1,N/A
28-Nov-17,Kansas,Topeka,5820 SW Candletree Dr,0,1,N/A
28-Nov-17,Kansas,Wichita,5000 block of W Newell,0,1,N/A
28-Nov-17,Oklahoma,Tulsa,31st Street and Mingo Road,0,1,N/A
28-Nov-17,Missouri,Florissant,11824 W Florissant Ave,0,2,N/A
28-Nov-17,Pennsylvania,Philadelphia,1900 block of Hart Ln,0,1,N/A
28-Nov-17,Louisiana,New Iberia,900 block of Ray Road,0,1,N/A
28-Nov-17,Louisiana,Sulphur,Patton Street,0,1,N/A
28-Nov-17,Colorado,Colorado Springs,750 Citadel Dr E,0,0,N/A
28-Nov-17,Arkansas,Pine Bluff,West 26th Avenue and South Elm Street,0,1,N/A
28-Nov-17,Oregon,Portland,12200 block of SE Ramona St,0,1,N/A
28-Nov-17,District of Columbia,Washington,2300 block of Chester St SE,0,0,N/A
28-Nov-17,Missouri,Columbia,2800 Goodwin Pointe Dr,0,0,N/A
28-Nov-17,Florida,Orlando,Pinder Ct,0,0,N/A
28-Nov-17,Missouri,Saint Louis,981 S Skinker Blvd,0,0,N/A
28-Nov-17,Florida,Leesburg,Berwick Dr,0,1,N/A
28-Nov-17,Texas,Garland,1966 W Northwest Hwy,0,0,N/A
28-Nov-17,Florida,Clearwater,1501 Cleveland St,0,1,N/A
28-Nov-17,Nevada,Las Vegas,5300 block of Stampa Ave,0,1,N/A
28-Nov-17,Mississippi,Monticello,Hwy 184,0,2,N/A
28-Nov-17,Mississippi,Jackson,Hill Avenue,0,1,N/A
28-Nov-17,Kansas,Leavenworth,2500 block of Maple Ave,0,0,N/A
28-Nov-17,Nebraska,Greenwood,N/A,0,1,N/A
28-Nov-17,Florida,Ocoee,N/A,0,0,N/A
28-Nov-17,Florida,Sanford,Anderson Ave,0,1,N/A
28-Nov-17,Florida,Franklin (county),N/A,0,0,N/A
28-Nov-17,Colorado,Pueblo,1800 block of Carteret Ave,0,0,N/A
28-Nov-17,California,Oakland,4400 block of Moraga Ave,0,0,N/A
28-Nov-17,California,Oakland,3700 block of Penniman Ave,0,0,N/A
